alfa_skill,status,severity,referenced_by_count,referenced_by,disposition,beta_home,rationale
podcast-prep,pending,,3,agents/podcast-prep-specialist.md;commands/podcast-prep.md;prompts/content/4-podcast-prep.md,router-fold,marketing-content#podcast-prep,playbook in skills/marketing-content/references/podcast-prep.md
portfolio-sites,pending,,1,agents/portfolio-builder.md,router-fold,web-frontend#portfolio-sites,playbook in skills/web-frontend/references/portfolio-sites.md
post-tool-use-validator,dod-complete,P1,3,agents/post-tool-use-validator-specialist.md;commands/post-tool-use-validator.md;prompts/automation/2-post-tool-use-validator.md,router-fold,guardrails#post-tool-use-validator,playbook in skills/guardrails/references/post-tool-use-validator.md
pre-compact-context,dod-complete,P1,3,agents/pre-compact-context-specialist.md;commands/pre-compact-context.md;prompts/automation/6-pre-compact-context.md,router-fold,session-workspace#pre-compact-context,playbook in skills/session-workspace/references/pre-compact-context.md
pre-tool-use-guard,dod-complete,P1,3,agents/pre-tool-use-guard-specialist.md;commands/pre-tool-use-guard.md;prompts/automation/1-pre-tool-use-guard.md,router-fold,guardrails#pre-tool-use-guard,playbook in skills/guardrails/references/pre-tool-use-guard.md
presentation-design,pending,,3,agents/presentation-design-specialist.md;commands/presentation-design.md;prompts/content/2-presentation-design.md,router-fold,brand-output#presentation-design,playbook in skills/brand-output/references/presentation-design.md
press-release,pending,,3,agents/press-release-specialist.md;commands/press-release.md;prompts/content/7-press-release.md,router-fold,marketing-content#press-release,playbook in skills/marketing-content/references/press-release.md
pricing-strategy,pending,,3,agents/pricing-strategy-specialist.md;commands/pricing-strategy.md;prompts/business/9-pricing-strategy.md,router-fold,market-intel#pricing-strategy,playbook in skills/market-intel/references/pricing-strategy.md
print-stylesheet,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
pristino-calibration,dod-complete,P1,1,commands/calibrate.md,core,pristino-calibration,standalone skill in beta
privacy-compliance,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
proceso-seleccion-orchestrator,dod-complete,P1,0,,router-fold,carrera#proceso-seleccion-orchestrator,playbook in skills/carrera/references/proceso-seleccion-orchestrator.md
product-roadmapping,pending,,1,agents/product-strategist.md,router-fold,pm-delivery#product-roadmapping,playbook in skills/pm-delivery/references/product-roadmapping.md
product-strategy,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
progress-tracker,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
project-charter,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
project-create,not-in-ledger,,1,agents/jarvis-orchestrator.md,core,project-create,standalone skill in beta
project-program-management,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
prompt-chaining-design,dod-complete,P1,0,,core,prompt-chaining-design,standalone skill in beta
prompt-creator,dod-complete,P1,0,,router-fold,skill-foundry#prompt-creator,playbook in skills/skill-foundry/references/prompt-creator.md
prompt-engineering,dod-complete,P1,3,agents/prompt-engineering-specialist.md;commands/prompt-engineering.md;prompts/ai/1-prompt-engineering.md,router-fold,ai-architecture#prompt-engineering,playbook in skills/ai-architecture/references/prompt-engineering.md
prompt-forge,dod-complete,P1,0,,router-fold,skill-foundry#prompt-forge,playbook in skills/skill-foundry/references/prompt-forge.md
prompting-and-meta-prompting,dod-complete,P1,0,,core,prompting-and-meta-prompting,standalone skill in beta
proposal-writing,pending,,3,agents/proposal-writing-specialist.md;commands/proposal-writing.md;prompts/content/9-proposal-writing.md,router-fold,sales-bizdev#proposal-writing,playbook in skills/sales-bizdev/references/proposal-writing.md
prototyping,pending,,3,agents/prototyping-specialist.md;commands/prototyping.md;prompts/ux/2-prototyping.md,router-fold,ux-research#prototyping,playbook in skills/ux-research/references/prototyping.md
provenance-engineering,dod-complete,P1,0,,core,provenance-engineering,standalone skill in beta
push-notifications,pending,,1,agents/push-notification-specialist.md,router-fold,integrations#push-notifications,playbook in skills/integrations/references/push-notifications.md
pwa-architecture,pending,,2,agents/mobile-responsiveness-tester.md;agents/pwa-architect.md,router-fold,web-frontend#pwa-architecture,playbook in skills/web-frontend/references/pwa-architecture.md
qbr-quarterly,not-in-ledger,,0,,core,qbr-quarterly,standalone skill in beta
quality-engineering,dod-complete,P1,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
quality-gatekeeper,dod-complete,P1,0,,router-fold,guardrails#quality-gatekeeper,playbook in skills/guardrails/references/quality-gatekeeper.md
quality-metrics,dod-complete,P1,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
rag-patterns,pending,,3,agents/rag-patterns-specialist.md;commands/rag-patterns.md;prompts/ai/2-rag-patterns.md,router-fold,ai-architecture#rag-patterns,playbook in skills/ai-architecture/references/rag-patterns.md
rate-limiting,pending,,3,agents/rate-limiting-specialist.md;commands/rate-limiting.md;prompts/devops/13-rate-limiting.md,router-fold,security#rate-limiting,playbook in skills/security/references/rate-limiting.md
rbac-patterns,pending,,3,agents/rbac-patterns-specialist.md;commands/rbac-patterns.md;prompts/enterprise/3-rbac-patterns.md,router-fold,security#rbac-patterns,playbook in skills/security/references/rbac-patterns.md
react-component-library,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
react-development,pending,,1,agents/react-specialist.md,router-fold,web-frontend#react-development,playbook in skills/web-frontend/references/react-development.md
real-time-analytics,pending,,3,agents/real-time-analytics-specialist.md;commands/real-time-analytics.md;prompts/analytics/12-real-time-analytics.md,router-fold,product-analytics#real-time-analytics,playbook in skills/product-analytics/references/real-time-analytics.md
realtime-architecture,pending,,1,agents/realtime-designer.md,router-fold,architecture#realtime-architecture,playbook in skills/architecture/references/realtime-architecture.md
realtime-database,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
recaptcha-integration,pending,,1,agents/google-apis-specialist.md,router-fold,integrations#recaptcha-integration,playbook in skills/integrations/references/recaptcha-integration.md
red-y-referencias,dod-complete,P1,0,,router-fold,carrera#red-y-referencias,playbook in skills/carrera/references/red-y-referencias.md
release-strategy,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
rendering-engine,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
repo-sync-auditor,dod-complete,P1,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
reporting-templates,pending,,3,agents/reporting-templates-specialist.md;commands/reporting-templates.md;prompts/analytics/6-reporting-templates.md,router-fold,docs-writing#reporting-templates,playbook in skills/docs-writing/references/reporting-templates.md
repository-organization,dod-complete,P1,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
requirements-engineering,pending,,2,agents/business-analyst.md;agents/requirements-analyst.md,router-fold,business-analysis#requirements-engineering,playbook in skills/business-analysis/references/requirements-engineering.md
responsive-design,pending,,3,agents/css-architect.md;agents/mobile-responsiveness-tester.md;agents/responsive-designer.md,dropped-generic,none,restates base-model knowledge; referencers rewired to nearest router
responsive-design-system,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
rest-api-development,pending,,1,agents/rest-api-builder.md,dropped-generic,none,restates base-model knowledge; referencers rewired to nearest router
retrospective-facilitation,pending,,3,agents/retrospective-facilitation-specialist.md;commands/retrospective-facilitation.md;prompts/enterprise/14-retrospective-facilitation.md,router-fold,pm-delivery#retrospective-facilitation,playbook in skills/pm-delivery/references/retrospective-facilitation.md
revisor-veracidad,not-in-ledger,,1,agents/jarvis-orchestrator.md,core,revisor-veracidad,standalone skill in beta
risk-assessment,pending,,1,agents/risk-analyst.md,router-fold,pm-delivery#risk-assessment,playbook in skills/pm-delivery/references/risk-assessment.md
risk-controlling-dynamics,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
roadmap-poc,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
role-based-access,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
rollback-strategy,pending,,3,agents/rollback-strategy-specialist.md;commands/rollback-strategy.md;prompts/devops/6-rollback-strategy.md,router-fold,devops-deploy#rollback-strategy,playbook in skills/devops-deploy/references/rollback-strategy.md
rule-forge,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
runtime-routing,dod-complete,P1,1,commands/explain-devkit.md,core,runtime-routing,standalone skill in beta
safe-scripting-and-bash,dod-complete,P1,0,,core,safe-scripting-and-bash,standalone skill in beta
sales-collateral,pending,,3,agents/sales-collateral-specialist.md;commands/sales-collateral.md;prompts/business/4-sales-collateral.md,router-fold,sales-bizdev#sales-collateral,playbook in skills/sales-bizdev/references/sales-collateral.md
sales-tracker,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
scaffold-angular-app,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
scaffold-html-css,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
scaffold-react-app,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
scenario-analysis,pending,,2,agents/scenario-evaluator.md;agents/socratic-debater.md,router-fold,business-analysis#scenario-analysis,playbook in skills/business-analysis/references/scenario-analysis.md
scheduled-functions,pending,,1,agents/cron-job-specialist.md,router-fold,firebase#scheduled-functions,playbook in skills/firebase/references/scheduled-functions.md
schema-evolution,pending,,3,agents/schema-evolution-specialist.md;commands/schema-evolution.md;prompts/analytics/4-schema-evolution.md,router-fold,data-platform#schema-evolution,playbook in skills/data-platform/references/schema-evolution.md
scope-guard,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
scroll-interaction,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
search-implementation,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
search-ux,pending,,3,agents/search-ux-specialist.md;commands/search-ux.md;prompts/ux/14-search-ux.md,router-fold,ux-design#search-ux,playbook in skills/ux-design/references/search-ux.md
secrets-management,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
secrets-sanitization,dod-complete,P1,0,,router-fold,guardrails#secrets-sanitization,playbook in skills/guardrails/references/secrets-sanitization.md
sector-intelligence,pending,,2,agents/competitive-analyst.md;agents/industry-expert.md,router-fold,market-intel#sector-intelligence,playbook in skills/market-intel/references/sector-intelligence.md
security-architecture,pending,,1,agents/security-architect.md,router-fold,security#architecture,playbook in skills/security/references/architecture.md
security-testing,pending,,2,agents/quality-guardian.md;agents/security-scanner.md,router-fold,security#testing,playbook in skills/security/references/testing.md
self-correction-loops,dod-complete,P1,0,,core,self-correction-loops,standalone skill in beta
seo-architecture,pending,,4,agents/blog-builder.md;agents/landing-page-builder.md;agents/seo-architect.md;agents/seo-auditor.md,router-fold,seo-growth#seo-architecture,playbook in skills/seo-growth/references/seo-architecture.md
seo-content,pending,,1,commands/seo-content.md,router-fold,seo-growth#seo-content,playbook in skills/seo-growth/references/seo-content.md
seo-technical,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
server-middleware,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
serverless-patterns,pending,,1,agents/cloud-functions-dev.md,router-fold,hosting-infra#serverless-patterns,playbook in skills/hosting-infra/references/serverless-patterns.md
session-end-cleanup,dod-complete,P1,3,agents/session-end-cleanup-specialist.md;commands/session-end-cleanup.md;prompts/automation/5-session-end-cleanup.md,router-fold,session-workspace#session-end-cleanup,playbook in skills/session-workspace/references/session-end-cleanup.md
session-lifecycle-management,dod-complete,P1,0,,core,session-lifecycle-management,standalone skill in beta
session-manager,dod-complete,P1,1,agents/session-manager.md,router-fold,session-workspace#session-manager,playbook in skills/session-workspace/references/session-manager.md
session-protocol,dod-complete,P1,1,agents/adk-orchestrator.md,router-fold,session-workspace#session-protocol,playbook in skills/session-workspace/references/session-protocol.md
session-start-bootstrap,dod-complete,P1,3,agents/session-start-bootstrap-specialist.md;commands/session-start-bootstrap.md;prompts/automation/4-session-start-bootstrap.md,router-fold,session-workspace#session-start-bootstrap,playbook in skills/session-workspace/references/session-start-bootstrap.md
simulador-entrevista,dod-complete,P1,0,,router-fold,carrera#simulador-entrevista,playbook in skills/carrera/references/simulador-entrevista.md
skill-forge,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
skill-search,pending,,1,agents/skill-router.md,router-fold,skill-foundry#skill-search,playbook in skills/skill-foundry/references/skill-search.md
skill-spec-creator,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
sla-definition,pending,,3,agents/sla-definition-specialist.md;commands/sla-definition.md;prompts/enterprise/7-sla-definition.md,router-fold,pm-delivery#sla-definition,playbook in skills/pm-delivery/references/sla-definition.md
social-media-strategy,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
social-proof,pending,,3,agents/social-proof-specialist.md;commands/social-proof.md;prompts/business/8-social-proof.md,router-fold,seo-growth#social-proof,playbook in skills/seo-growth/references/social-proof.md
socratic-debate,pending,,2,agents/adk-orchestrator.md;agents/socratic-debater.md,router-fold,agent-orchestration#socratic-debate,playbook in skills/agent-orchestration/references/socratic-debate.md
bpmn-process-analysis,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
regional-finance,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
sap-implementation,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
software-architecture,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
software-viability,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
solution-roadmap,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
solutions-architecture,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
spa-routing,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
spec-agent-command,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
spec-skill-moat,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
sprint-report,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
ssh-deployment,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
ssl-management,pending,,3,agents/ssl-management-specialist.md;commands/ssl-management.md;prompts/devops/10-ssl-management.md,router-fold,hosting-infra#ssl-management,playbook in skills/hosting-infra/references/ssl-management.md
stakeholder-mapping,pending,,1,agents/stakeholder-mapper.md,router-fold,pm-delivery#stakeholder-mapping,playbook in skills/pm-delivery/references/stakeholder-mapping.md
state-management,pending,,1,agents/state-designer.md,dropped-generic,none,restates base-model knowledge; referencers rewired to nearest router
state-management-design,pending,,0,,dropped-generic,none,restates base-model knowledge; referencers rewired to nearest router
station-create,not-in-ledger,,1,agents/jarvis-orchestrator.md,core,station-create,standalone skill in beta
step-creator,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
stop-validator,pending,,4,agents/stop-validator-specialist.md;commands/stop-validator.md;hooks/hooks.json;prompts/automation/7-stop-validator.md,router-fold,guardrails#stop-validator,playbook in skills/guardrails/references/stop-validator.md
storytelling,pending,,3,agents/presentation-design-specialist.md;commands/presentation-design.md;prompts/content/2-presentation-design.md,router-fold,docs-writing#storytelling,playbook in skills/docs-writing/references/storytelling.md
structured-output,pending,,3,agents/structured-output-specialist.md;commands/structured-output.md;prompts/ai/14-structured-output.md,router-fold,ai-architecture#structured-output,playbook in skills/ai-architecture/references/structured-output.md
structured-output-design,dod-complete,P1,0,,core,structured-output-design,standalone skill in beta
subagent-monitor,dod-complete,P1,3,agents/subagent-monitor-specialist.md;commands/subagent-monitor.md;prompts/automation/9-subagent-monitor.md,router-fold,agent-orchestration#subagent-monitor,playbook in skills/agent-orchestration/references/subagent-monitor.md
subagent-orchestration,dod-complete,P1,0,,core,subagent-orchestration,standalone skill in beta
surgeon-skill,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
survey-design,pending,,3,agents/survey-design-specialist.md;commands/survey-design.md;prompts/analytics/13-survey-design.md,router-fold,ux-research#survey-design,playbook in skills/ux-research/references/survey-design.md
swot-analysis,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
system-architecture,pending,,2,agents/architecture-designer.md;agents/solutions-architect.md,router-fold,architecture#system-architecture,playbook in skills/architecture/references/system-architecture.md
system-design,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
table-ux,pending,,3,agents/table-ux-specialist.md;commands/table-ux.md;prompts/ux/15-table-ux.md,router-fold,ux-design#table-ux,playbook in skills/ux-design/references/table-ux.md
task-automation,pending,,3,agents/task-automation-specialist.md;commands/task-automation.md;prompts/automation/14-task-automation.md,router-fold,agent-orchestration#task-automation,playbook in skills/agent-orchestration/references/task-automation.md
task-engine,dod-complete,P1,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
task-subfolder,not-in-ledger,,1,agents/jarvis-orchestrator.md,core,task-subfolder,standalone skill in beta
tasklog-management,dod-complete,P1,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
team-topology,pending,,3,agents/team-topology-specialist.md;commands/team-topology.md;prompts/enterprise/12-team-topology.md,router-fold,pm-delivery#team-topology,playbook in skills/pm-delivery/references/team-topology.md
technical-documentation,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
technical-feasibility,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
technical-writing,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
technical-writing-patterns,pending,,3,agents/technical-writing-patterns-specialist.md;commands/technical-writing-patterns.md;prompts/content/1-technical-writing-patterns.md,router-fold,docs-writing#technical-writing-patterns,playbook in skills/docs-writing/references/technical-writing-patterns.md
test-data-factory,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
test-strategy,pending,,3,agents/bdd-strategist.md;agents/quality-engineer.md;agents/quality-guardian.md,router-fold,testing-qa#test-strategy,playbook in skills/testing-qa/references/test-strategy.md
testimonial-collector,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
testing-strategy,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
tool-use-design,dod-complete,P1,0,,core,tool-use-design,standalone skill in beta
trade-off-analysis,pending,,3,agents/feasibility-validator.md;agents/scenario-evaluator.md;agents/socratic-debater.md,router-fold,architecture#trade-off-analysis,playbook in skills/architecture/references/trade-off-analysis.md
training-material,pending,,3,agents/training-material-specialist.md;commands/training-material.md;prompts/content/10-training-material.md,router-fold,docs-writing#training-material,playbook in skills/docs-writing/references/training-material.md
triad-composition,dod-complete,P1,1,agents/adk-orchestrator.md,router-fold,agent-orchestration#triad-composition,playbook in skills/agent-orchestration/references/triad-composition.md
trigger-skill,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
typescript-patterns,pending,,3,agents/angular-specialist.md;agents/react-specialist.md;agents/typescript-specialist.md,dropped-generic,none,restates base-model knowledge; referencers rewired to nearest router
typography-advanced,pending,,3,agents/typography-advanced-specialist.md;commands/typography-advanced.md;prompts/ux/8-typography-advanced.md,router-fold,ux-design#typography-advanced,playbook in skills/ux-design/references/typography-advanced.md
ui-kit-builder,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
unit-testing,pending,,2,agents/quality-engineer.md;agents/unit-test-writer.md,router-fold,testing-qa#unit-testing,playbook in skills/testing-qa/references/unit-testing.md
user-prompt-filter,dod-complete,P1,4,agents/user-prompt-filter-specialist.md;commands/user-prompt-filter.md;hooks/hooks.json;prompts/automation/3-user-prompt-filter.md,router-fold,guardrails#user-prompt-filter,playbook in skills/guardrails/references/user-prompt-filter.md
user-representative,dod-complete,P1,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
user-research,pending,,1,agents/user-researcher.md,router-fold,ux-research#user-research,playbook in skills/ux-research/references/user-research.md
user-story-writer,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
user-testing,pending,,3,agents/user-testing-specialist.md;commands/user-testing.md;prompts/ux/1-user-testing.md,router-fold,ux-research#user-testing,playbook in skills/ux-research/references/user-testing.md
ux-writing,dod-complete,P1,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
validar-liquidacion-co,dod-complete,P1,0,,router-fold,carrera#validar-liquidacion-co,playbook in skills/carrera/references/validar-liquidacion-co.md
validate-components,dod-complete,P1,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
validate-cross-refs,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
validate-hooks,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
validate-manifest,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
validate-structure,dod-complete,P1,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
validation-retry-design,dod-complete,P1,0,,core,validation-retry-design,standalone skill in beta
value-proposition,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
vanilla-javascript,pending,,2,agents/frontend-craftsman.md;agents/vanilla-js-specialist.md,dropped-generic,none,restates base-model knowledge; referencers rewired to nearest router
vendor-evaluation,pending,,3,agents/vendor-evaluation-specialist.md;commands/vendor-evaluation.md;prompts/enterprise/10-vendor-evaluation.md,router-fold,pm-delivery#vendor-evaluation,playbook in skills/pm-delivery/references/vendor-evaluation.md
video-script,pending,,3,agents/video-script-specialist.md;commands/video-script.md;prompts/content/3-video-script.md,router-fold,marketing-content#video-script,playbook in skills/marketing-content/references/video-script.md
visual-regression,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
visual-regression-testing,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
voice-interface,pending,,3,agents/voice-interface-specialist.md;commands/voice-interface.md;prompts/ai/16-voice-interface.md,router-fold,ai-architecture#voice-interface,playbook in skills/ai-architecture/references/voice-interface.md
wbr-weekly-review,not-in-ledger,,0,,core,wbr-weekly-review,standalone skill in beta
web-components,pending,,1,agents/web-component-builder.md,router-fold,web-frontend#web-components,playbook in skills/web-frontend/references/web-components.md
web-performance,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
web-security-implementation,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
webhook-handler,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
webhook-handling,pending,,1,agents/webhook-specialist.md,router-fold,integrations#webhook-handling,playbook in skills/integrations/references/webhook-handling.md
weekly-retro,not-in-ledger,,0,,core,weekly-retro,standalone skill in beta
whitepaper-creation,pending,,3,agents/whitepaper-creation-specialist.md;commands/whitepaper-creation.md;prompts/content/6-whitepaper-creation.md,router-fold,marketing-content#whitepaper-creation,playbook in skills/marketing-content/references/whitepaper-creation.md
workflow-creator,dod-complete,P1,0,,router-fold,skill-foundry#workflow-creator,playbook in skills/skill-foundry/references/workflow-creator.md
workflow-forge,dod-complete,P1,0,,router-fold,skill-foundry#workflow-forge,playbook in skills/skill-foundry/references/workflow-forge.md
workflow-orchestration,dod-complete,P1,3,agents/workflow-orchestration-specialist.md;commands/workflow-orchestration.md;prompts/automation/15-workflow-orchestration.md,router-fold,agent-orchestration#workflow-orchestration,playbook in skills/agent-orchestration/references/workflow-orchestration.md
workshop-design,pending,,1,agents/workshop-facilitator.md,router-fold,business-analysis#workshop-design,playbook in skills/business-analysis/references/workshop-design.md
workshop-facilitator,pending,,1,agents/workshop-facilitator.md,router-fold,business-analysis#workshop-facilitator,playbook in skills/business-analysis/references/workshop-facilitator.md
workshop-proposal,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
workspace-governance,dod-complete,P1,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
workspace-setup,dod-complete,P1,1,commands/setup-workspace.md,core,workspace-setup,standalone skill in beta
x-ray-skill,dod-complete,P1,0,,router-fold,skill-foundry#x-ray-skill,playbook in skills/skill-foundry/references/x-ray-skill.md
xlsx-template-creator,dod-complete,P1,0,,router-fold,brand-output#xlsx-template-creator,playbook in skills/brand-output/references/xlsx-template-creator.md
